vgg16,vgg19,squeezenet,goolenet,alexnet,resnet152,neumf,adgcl,vgg16_num,vgg19_num,squeezenet_num,goolenet_num,alexnet_num,resnet152_num,neumf_num,adgcl_num,sum_interference,product_interference
0,0,0,1,0,0,1,0,00,00,00,10,00,00,01,00,0.5650642181017309,0.005199349669286161
0,0,0,1,0,0,0,1,00,00,00,10,00,00,00,01,2.488295602644906,0.5695656745928015
1,0,0,0,1,0,0,0,01,00,00,00,10,00,00,00,3.589947968656474,0.9560063062020314
0,1,0,0,1,0,0,0,00,01,00,00,10,00,00,00,3.8938737077293855,1.3417172733574554
0,0,1,0,1,0,0,0,00,00,01,00,10,00,00,00,3.7277227727640585,1.4998541411470343
0,0,0,0,1,0,0,0,00,00,00,00,11,00,00,00,7.57039235776629,16.0563512282626
0,0,0,0,1,0,1,0,00,00,00,00,10,00,01,00,3.7676972556630357,1.4771767579382433
0,0,0,0,1,0,0,1,00,00,00,00,10,00,00,01,5.1695092013011426,1.7867733643261394
1,0,0,0,0,0,1,0,01,00,00,00,00,00,10,00,0.6206202215817078,2.1013922245740964e-05
0,1,0,0,0,0,1,0,00,01,00,00,00,00,10,00,0.7673785846389793,0.0022396328332278553
0,0,1,0,0,0,1,0,00,00,01,00,00,00,10,00,0.13748776248021152,8.992440123600703e-05
0,0,0,1,0,0,1,0,00,00,00,01,00,00,10,00,0.19112652124691704,0.0001779841708780118
0,0,0,0,1,0,1,0,00,00,00,00,01,00,10,00,1.5730671327723722,0.04994131483789732
0,0,0,0,0,0,1,0,00,00,00,00,00,00,11,00,0.10435211807514294,2.332264676522691e-05
0,0,0,0,0,0,1,1,00,00,00,00,00,00,10,01,0.2647802133970604,0.0004255637038945633
1,0,0,0,0,0,0,1,01,00,00,00,00,00,00,10,1.881903181126841,0.07373978757272683
0,1,0,0,0,0,0,1,00,01,00,00,00,00,00,10,1.6982983977282986,0.04787781706282754
0,0,1,0,0,0,0,1,00,00,01,00,00,00,00,10,1.2542711221426233,0.039595910204046715
0,0,0,1,0,0,0,1,00,00,00,01,00,00,00,10,1.1669765401279522,0.037297324546778386
0,0,0,0,1,0,0,1,00,00,00,00,01,00,00,10,3.9750059087291745,1.997728795338061
0,0,0,0,0,0,1,1,00,00,00,00,00,00,01,10,0.9482731892743156,0.018484574918965876
0,0,0,0,0,0,0,1,00,00,00,00,00,00,00,11,2.441746213786729,0.3935506081120725
1,1,1,0,0,0,0,0,01,01,01,00,00,00,00,00,1.1268371818497447,0.04102204730621824
1,1,0,1,0,0,0,0,01,01,00,01,00,00,00,00,1.6510809342531028,0.16314884877504343
1,1,0,0,1,0,0,0,01,01,00,00,01,00,00,00,2.1374196077648975,0.29579498799754433
1,1,0,0,0,0,1,0,01,01,00,00,00,00,01,00,1.5482266116932912,0.1016498925797785
1,1,0,0,0,0,0,1,01,01,00,00,00,00,00,01,1.6695715266186766,0.1422151592891531
1,0,1,1,0,0,0,0,01,00,01,01,00,00,00,00,0.6203179194664669,0.00832354083847897
1,0,1,0,1,0,0,0,01,00,01,00,01,00,00,00,1.7557465313471419,0.10534710889890336
1,0,1,0,0,0,1,0,01,00,01,00,00,00,01,00,0.45935913285673646,0.002207135916219343
1,0,1,0,0,0,0,1,01,00,01,00,00,00,00,01,0.7386489547167518,0.009629565185503987
1,0,0,1,1,0,0,0,01,00,00,01,01,00,00,00,1.821448991835314,0.13345422030220538
1,0,0,1,0,0,1,0,01,00,00,01,00,00,01,00,0.6764714247028959,0.009823954967863402
1,0,0,1,0,0,0,1,01,00,00,01,00,00,00,01,0.8428240542936503,0.019980537209047893
1,0,0,0,1,0,0,1,01,00,00,00,01,00,00,01,2.2448574666014562,0.16630796902581615
